gene_id	protein_id
G4P62_003996	KAF7230151.1
G4P62_003996	KAF7230152.1
G4P62_003996	KAF7230153.1
G4P62_003997	KAF7230154.1
G4P62_003998	KAF7230155.1
G4P62_003998	KAF7230156.1
G4P62_003999	KAF7230157.1
G4P62_004000	KAF7230158.1
G4P62_004001	KAF7230159.1
G4P62_004002	KAF7230160.1
G4P62_004003	KAF7230161.1
G4P62_004003	KAF7230162.1
G4P62_004003	KAF7230163.1
G4P62_004004	KAF7230164.1
G4P62_004004	KAF7230165.1
G4P62_004005	KAF7230166.1
G4P62_004006	KAF7230167.1
G4P62_004006	KAF7230168.1
G4P62_004007	KAF7230169.1
G4P62_004007	KAF7230170.1
G4P62_004008	KAF7230171.1
G4P62_004008	KAF7230172.1
G4P62_004009	KAF7230173.1
G4P62_004010	KAF7230174.1
G4P62_004011	KAF7230175.1
G4P62_004012	KAF7230176.1
G4P62_004013	KAF7230177.1
G4P62_004014	KAF7230178.1
G4P62_004015	KAF7230179.1
G4P62_004015	KAF7230180.1
G4P62_004016	KAF7230181.1
G4P62_004017	KAF7230182.1
G4P62_004018	KAF7230183.1
G4P62_004020	KAF7230185.1
G4P62_004019	KAF7230184.1
G4P62_004021	KAF7230186.1
G4P62_004022	KAF7230187.1
G4P62_004023	KAF7230188.1
G4P62_004023	KAF7230189.1
G4P62_004025	KAF7230190.1
G4P62_004026	KAF7230191.1
G4P62_004027	KAF7230192.1
G4P62_004027	KAF7230193.1
G4P62_004028	KAF7230194.1
G4P62_004028	KAF7230195.1
G4P62_004028	KAF7230196.1
G4P62_004029	KAF7230197.1
G4P62_004030	KAF7230198.1
G4P62_004030	KAF7230199.1
G4P62_004030	KAF7230200.1
G4P62_004031	KAF7230201.1
G4P62_004032	KAF7230202.1
G4P62_004033	KAF7230203.1
G4P62_004034	KAF7230204.1
G4P62_004035	KAF7230205.1
G4P62_004036	KAF7230206.1
G4P62_004037	KAF7230207.1
G4P62_004038	KAF7230208.1
G4P62_004039	KAF7230209.1
G4P62_004040	KAF7230210.1
G4P62_004041	KAF7230211.1
G4P62_004042	KAF7230212.1
G4P62_004043	KAF7230213.1
G4P62_004043	KAF7230214.1
G4P62_004044	KAF7230215.1
G4P62_004045	KAF7230216.1
G4P62_004046	KAF7230217.1
G4P62_004046	KAF7230218.1
G4P62_004046	KAF7230219.1
G4P62_019977	KAF7231776.1
G4P62_004047	KAF7230220.1
G4P62_004048	KAF7230221.1
G4P62_019976	KAF7231775.1
G4P62_019177	KAF7231677.1
G4P62_019177	KAF7231678.1
G4P62_019179	KAF7231680.1
G4P62_018097	KAF7231538.1
G4P62_018098	KAF7231539.1
G4P62_004049	KAF7230222.1
G4P62_004050	KAF7230223.1
G4P62_004050	KAF7230224.1
G4P62_004050	KAF7230225.1
G4P62_004050	KAF7230226.1
G4P62_004050	KAF7230227.1
G4P62_004050	KAF7230228.1
G4P62_004051	KAF7230229.1
G4P62_004052	KAF7230230.1
G4P62_004052	KAF7230231.1
G4P62_004052	KAF7230232.1
G4P62_004053	KAF7230233.1
G4P62_004054	KAF7230234.1
G4P62_004055	KAF7230235.1
G4P62_004056	KAF7230236.1
G4P62_004057	KAF7230237.1
G4P62_018602	KAF7231599.1
G4P62_018603	KAF7231600.1
G4P62_018604	KAF7231601.1
G4P62_018605	KAF7231602.1
G4P62_018605	KAF7231603.1
G4P62_004058	KAF7230238.1
G4P62_004058	KAF7230239.1
G4P62_004059	KAF7230240.1
G4P62_004060	KAF7230241.1
G4P62_004061	KAF7230242.1
G4P62_004061	KAF7230243.1
G4P62_004062	KAF7230244.1
G4P62_004063	KAF7230245.1
